lat,lon,name
48.8689911,2.3678193,Orient Express
48.8685016,2.3667377,Turkish Snack
48.86847,2.3665974,Planet Istanbul
48.8687159,2.3685066,Sonny's
48.8685862,2.3665055,Efes
48.8684865,2.3661812,Le Plaisir Indien
48.8688144,2.3800769,Couronne Food
48.8716303,2.3777995,Souvlaki grill
48.8710472,2.3784717,Kifolie
48.8794975,2.3566111,L'Oasis du Nord
48.8315467,2.3138335,Amore e Gusto
48.8466707,2.3519477,Cardinal Sushi
48.8678987,2.3354545,Vegitai
48.8865544,2.3946173,STReat
48.8718914,2.3477763,Thai Som Tam
48.8558635,2.3864824,Karaagé-ya
48.8729112,2.3593539,Al Assil
48.8608625,2.2916712,Crêpes
48.8773443,2.2928739,Royal Acacias
48.8795038,2.355703,Kum Po 金賓快餐
48.8292026,2.382588,Maji
48.8291308,2.3823983,Hello You
48.868042,2.3605726,Hak Yolu
48.8695678,2.3523357,Burger & Fries
48.869876,2.3530342,Süpriz Berliner Kebab
48.8687056,2.3562086,El Berdawni
48.8609413,2.3681895,Chez Jacques
48.886412,2.325782,O'nan Kebab
48.8861609,2.3263857,Chicken Street
48.8826682,2.3420811,Samy's Barbecue
