lat,lon,name,type
48.8286719,2.3018801,Pépésantana,Fastfood
48.8332039,2.2893469,Baran,Fastfood
48.8460301,2.2776353,Kingfood,Fastfood
48.8424992,2.2778394,Xilong,Fastfood
48.890011,2.3627853,Hfc,Fastfood
48.824294,2.3282027,Amaretto,Fastfood
48.8243387,2.3286665,Venivici,Fastfood
48.8423322,2.2819847,Eyfel,Fastfood
48.8907685,2.3611697,Sababa,Fastfood
48.8906117,2.3602364,Mcdonalds,Fastfood
48.8323761,2.3150659,Ephese,Fastfood
48.8500212,2.2919369,Jubin,Fastfood
48.8309505,2.3809871,Gfcrestaurant,Fastfood
48.8371089,2.3521509,Tastyfood,Fastfood
48.8724968,2.3002227,Quick,Fastfood
48.8841936,2.349154,Burgerking,Fastfood
48.8328649,2.2888457,Subway,Fastfood
48.8269835,2.3573476,Parissud,Fastfood
48.8269435,2.3633896,Kingfood,Fastfood
48.8269324,2.3638037,Goodway,Fastfood
48.8269117,2.3634246,Poggicup,Fastfood
48.8365709,2.3742554,Burgerking,Fastfood
48.8539007,2.3710566,Burgerking,Fastfood
48.8280589,2.3563698,Brozburgerco,Fastfood
48.8303208,2.357022,Otacos,Fastfood
48.8906438,2.3596534,Occochicken,Fastfood
48.8467226,2.4102506,Otacos,Fastfood
48.8914345,2.3596388,Goldenfood,Fastfood
48.8901098,2.361774,Parisstarfood,Fastfood
48.8854958,2.3656011,Chickenspot,Fastfood
48.8919648,2.3596358,Lepaname,Fastfood
48.8901565,2.3589941,Subway,Fastfood
48.8351646,2.3976296,Imime,Fastfood
48.834708,2.3971806,Speedpizza,Fastfood
48.874618,2.3297594,Subway,Fastfood
48.8534028,2.3417219,Maoz,Fastfood
48.8455586,2.3490601,Momo,Fastfood
48.8668316,2.3636932,Kingsandwich,Fastfood
48.8667815,2.3637823,Xingfutang,Fastfood
48.8574812,2.3802834,Mcdonalds,Fastfood
48.8296723,2.3748324,Croqdebibliothèque,Fastfood
48.829878,2.375227,Istanbulgrill,Fastfood
48.8291241,2.3762991,Memosresto,Fastfood
48.8866184,2.3227356,Garni,Fastfood
48.8675416,2.3472475,Subway,Fastfood
48.8734037,2.370468,Alto,Fastfood
48.8615372,2.3491473,Pitatacos,Fastfood
48.8470794,2.3701786,Deliziosa,Fastfood
48.8551122,2.368942,Poképarisien,Fastfood
48.8540476,2.3699964,Mcdonalds,Fastfood
48.8199882,2.3571489,Pizzapronto,Fastfood
48.8325199,2.3357756,Aurégalsaintjacques,Fastfood
48.8901969,2.3579447,Grecschauds,Fastfood
48.8921834,2.3635197,Mondwich,Fastfood
48.8733376,2.32251,Sources,Fastfood
48.875816,2.3278533,Exki,Fastfood
48.8395405,2.3235675,Goodtimeresto,Fastfood
48.8852322,2.2913238,Subway,Fastfood
48.8672775,2.3441465,Tartelettes,Fastfood
48.8778139,2.3651201,Elnopal,Fastfood
48.876128,2.3384291,Jbc,Fastfood
48.8761937,2.3384548,Elledees,Fastfood
48.8389034,2.3510109,Lazysuzy,Fastfood
48.8520562,2.3392252,Burgerfries,Fastfood
48.8332758,2.362329,Woodiz,Fastfood
48.8280277,2.3557522,Falafelgégé,Fastfood
48.8754564,2.32838,Mcdonalds,Fastfood
48.8754384,2.3285619,Pommedepain,Fastfood
48.8760387,2.3312569,Pretamanger,Fastfood
48.8303481,2.3510629,Falafel,Fastfood
48.8303304,2.3510083,Goodpizza,Fastfood
48.8311978,2.2926478,Ta5typizza,Fastfood
48.8547918,2.3860308,Gd,Fastfood
48.8548359,2.3856354,Grandbollargesnouilles,Fastfood
48.8542704,2.2893594,Subway,Fastfood
48.8528817,2.3458751,Orientalbowl,Fastfood
48.8531209,2.3453617,Leminos,Fastfood
48.8971804,2.3586921,Kingcock,Fastfood
48.8988613,2.3696127,Lasource,Fastfood
48.8494708,2.3495778,Sushishop,Fastfood
48.841447,2.317524,Subway,Fastfood
48.841502,2.317449,Sushibest,Fastfood
48.8709594,2.3479984,Labelferme,Fastfood
48.8478055,2.2897402,Benmen,Fastfood
48.8751006,2.3400657,Bioburger,Fastfood
48.8748884,2.3397356,Pizzadiloretta,Fastfood
48.8750444,2.3389313,Rim,Fastfood
48.852787,2.3453984,Chickenspot,Fastfood
48.8253534,2.3417072,Lamiralchicken,Fastfood
48.8474749,2.4107917,Mcdonalds,Fastfood
48.8735547,2.3708418,Rougedo,Fastfood
48.8770585,2.3479815,Vg,Fastfood
48.8429388,2.3244928,Juni,Fastfood
48.8461498,2.3724726,Odélices,Fastfood
48.846606,2.3717286,Mukisushi,Fastfood
48.8384271,2.3603013,Nawab,Fastfood
48.8908952,2.3778259,Palaisduwenzhou,Fastfood
48.8236699,2.3253938,Planetfood,Fastfood
